syllabe,nb_prefix,nb_suffix,sound
claqu,125,0,
dégaz,125,0,
dégri,125,0,
disso,125,0,
épous,125,0,
bouil,124,0,
déplo,124,0,
désag,124,0,
déshy,124,0,
ébour,124,0,
palis,124,0,
parce,124,0,
brill,123,0,
dénic,123,0,
désav,123,0,
